year,City Average,Global Average
1938,23.72,8.86
1816,24.03,6.94
1817,22.18,6.98
1818,22.84,7.83
1819,22.25,7.37
1820,23.59,7.62
1821,23.15,8.09
1822,23.27,8.19
1823,23.81,7.72
1833,23.18,8.01
1834,23.16,8.15
1835,22.27,7.39
1836,22.19,7.70
1837,23.58,7.38
1838,26.83,7.51
1840,22.99,7.80
1841,23.46,7.69
1842,24.40,8.02
1843,23.16,8.17
1844,22.68,7.65
1845,22.94,7.85
1846,23.57,8.55
1847,23.06,8.09
1848,22.72,7.98
1849,22.84,7.98
1850,23.07,7.90
1851,23.05,8.18
1852,23.00,8.10
1853,23.13,8.04
1854,23.33,8.21
1855,23.73,8.11
1856,22.30,8.00
1857,18.53,7.76
1870,23.30,8.20
1871,23.21,8.12
1872,23.34,8.19
1873,23.45,8.35
1874,22.71,8.43
1875,23.73,7.86
1876,23.00,8.08
1877,23.06,8.54
1878,23.10,8.83
1879,23.50,8.17
1880,24.12,8.12
1881,23.83,8.27
1882,23.36,8.13
1883,23.27,7.98
1884,23.05,7.77
1885,22.70,7.92
1886,23.13,7.95
1887,23.27,7.91
1888,23.30,8.09
1889,23.49,8.32
1890,23.17,7.97
1891,22.83,8.02
1892,23.91,8.07
1893,22.30,8.06
1894,22.98,8.16
1895,23.57,8.15
1896,24.05,8.21
1897,23.36,8.29
1898,23.88,8.18
1899,24.10,8.40
1900,23.65,8.50
1901,23.51,8.54
1902,23.90,8.30
1903,23.24,8.22
1904,23.52,8.09
1905,22.91,8.23
1906,23.43,8.38
1907,23.11,7.95
1908,23.46,8.19
1909,22.99,8.18
1910,23.10,8.22
1911,23.54,8.18
1912,23.54,8.17
1913,22.92,8.30
1914,23.11,8.59
1915,24.21,8.59
1916,23.53,8.23
1917,22.51,8.02
1918,23.53,8.13
1919,23.29,8.38
1920,23.26,8.36
1921,24.52,8.57
1922,23.57,8.41
1923,23.26,8.42
1924,23.29,8.51
1925,23.14,8.53
1926,22.94,8.73
1927,23.05,8.52
1928,23.81,8.63
1929,23.54,8.24
1930,23.10,8.63
1931,23.64,8.72
1932,23.93,8.71
1933,23.02,8.34
1934,23.53,8.63
1935,23.16,8.52
1936,23.41,8.55
1937,23.30,8.70
1939,23.60,8.76
1940,23.56,8.76
1941,24.59,8.77
1942,23.73,8.73
1943,23.76,8.76
1944,23.27,8.85
1945,23.15,8.58
1946,24.30,8.68
1947,24.54,8.80
1948,23.78,8.75
1949,23.89,8.59
1950,22.82,8.37
1951,23.80,8.63
1952,24.02,8.64
1953,24.44,8.87
1954,23.85,8.56
1955,23.52,8.63
1956,23.76,8.28
1957,22.98,8.73
1958,24.16,8.77
1959,23.81,8.73
1960,23.87,8.58
1961,23.24,8.80
1962,23.45,8.75
1963,23.71,8.86
1964,23.17,8.41
1965,23.44,8.53
1966,23.55,8.60
1967,23.41,8.70
1968,23.33,8.52
1969,24.13,8.60
1970,24.01,8.70
1971,23.71,8.60
1972,23.67,8.50
1973,23.86,8.95
1974,23.54,8.47
1975,23.35,8.74
1976,23.44,8.35
1977,23.83,8.85
1978,23.70,8.69
1979,23.94,8.73
1980,24.33,8.98
1981,23.98,9.17
1982,23.45,8.64
1983,23.11,9.03
1984,23.90,8.69
1985,24.44,8.66
1986,23.55,8.83
1987,24.52,8.99
1988,24.61,9.20
1989,23.62,8.92
1990,24.10,9.23
1991,23.77,9.18
1992,23.79,8.84
1993,24.34,8.87
1994,24.29,9.04
1995,24.04,9.35
1996,23.81,9.04
1997,23.26,9.20
1998,24.34,9.52
1999,24.90,9.29
2000,24.57,9.20
2001,24.50,9.41
2002,24.91,9.57
2003,24.10,9.53
2004,24.85,9.32
2005,24.12,9.70
2006,24.72,9.53
2007,24.60,9.73
2008,24.25,9.43
2009,24.87,9.51
2010,24.98,9.70
2011,24.35,9.52
2012,24.37,9.51
2013,25.44,9.61
